Number,Storage,Name,Est.,Country,Type,ABV,Date,Memory,,git repo,,
,Blue,Timișoreana,1718,RO,blonde,5,,,,,,
,Blue,Timișoreana,1718,RO,blonde,5,,,,,,
,Blue,Timișoreana,1718,RO,unfiltered,5,,,,British,Big brown,227
620,Blue,Timișoreana,1718,RO,blonde,5,14/03/2021,"La Para cu Iulia, Lechi și Cosmin",,Romanian,Blue,134
626,Blue,Timișoreana,1718,RO,unpasteurised,5,26/03/2021,La Para în curte,,German,Green,207
,Blue,Nenea Iancu,,RO,blonde,4.9,,,,Dutch,Red,121
,Blue,Nenea Iancu,,RO,wheat; unfiltered,5.1,,,,Belgian,Tall black,234
615,Blue,Nenea Iancu,,RO,blonde,4.9,14/02/2021,Honey crispy strips,,International,Chonky brown,307
618,Blue,Nenea Iancu,,RO,wheat; unfiltered,5.5,02/03/2021,Rakia skribbl chat 2/2,,,TOTAL:,1230
,Blue,Nenea Iancu,,RO,Christmas Beer,5.7,,,,,,
,Blue,Skol,,RO,unfiltered,5,,,,,,
,Blue,Cazino,,RO,unfiltered,5.2,,,,Calendar:,,
430,Blue,Cazino,2016,RO,lager,5.2,16/12/2019,Crăciun la Deacu,,,,
,Blue,Silva,,RO,blonde,5,,,,Country codes,,
,Blue,Silva,,RO,dark,7,,,,,,
757,Blue,Silva,,RO,blonde,5,26/12/2021,În Halle cu Steven și Laur,,,,
,Blue,Silva,,RO,dark,7,,,,,,
,Blue,Bergenbier,1994,RO,blonde,5,,,,,,
,Blue,Bergenbier,,RO,ale,5.5,,,,,,
266,Blue,Bergenbier,1994,RO,blonde,5,,,,,,
,Blue,Chișinău,1873,RO,,,,,,,,
,Blue,Gambrinus,1869,RO,beer,5.5,,,,,,
,Blue,Tari ca munții,2017,RO,,5.2,23/12/2017,Concert Trooper în Halle. Lansare de bere,,,,
1017,Blue,Cibis,,RO,amber,6.3,28/12/2022,Duel Masters la Niq 1/3,,,,
,Blue,Oppler,1854,RO,pilsner,4.1,,,,,,
,Blue,Stejar,,RO,,5.5,,,,,,
209,Blue,Arrogant,,RO,IPA,6,01/08/2018,Înapoi de la bunici,,,,
577,Blue,TNR,2019,RO,blonde,4.5,08/12/2020,Acasă,,,,
,Blue,Zăganu,2013,RO,blonde unfiltered,5.3,,,,,,
607,Blue,Zăganu,2013,RO,brown,6.5,18/01/2021,Chilling with Disenchanted after slides prep,,,,
640,Blue,Sturionul,,RO,unpasteurised,5.6,24/04/2021,Ficăței cu cartofi noi,,,,
,Blue,Ciuc,,RO,blonde,5,,,,,,
,Blue,Tungri,,BE,double; unfiltered,7,20/08/2017,Back home,,,,
203,Blue,Tungri,,BE,blonde unfiltered,7.5,23/07/2018,Înapoi acasă din Bulgaria,,,,
,Blue,Ursus,1878,RO,blonde,5,,,,,,
204,Blue,Ursus,1878,RO,dark,6,,,,,,
205,Blue,Ursus,1878,RO,unfiltered,5.3,27/07/2018,La plajă cu Sorin,,,,
580,Blue,Ursus,1878,RO,pale ale,4.5,10/12/2020,LHCb virtual bbq,,,,
582,Blue,Ursus,1878,RO,black,6,12/12/2020,Miel la cuptor cu cartofi gratinați,,,,
584,Blue,Ursus,1878,RO,unpasteurised,5.3,15/12/2020,Zoom cu Liviu,,,,
264,Blue,Danke Bukarest!,,DE,German lager,5.5,25/12/2018,Crăciun fericit!,,,,
265,Blue,Doors Brew,,RO,unfiltered,5.2,26/12/2018,Chill în Doors cu Flori și Maria,,,,
612,Blue,Rock Halle,,RO,amber lager,6.5,05/02/2021,"În Halle cu Doru, Para, Sabina, Deniz, Elif și Octi pe tură",,,,
616,Blue,Rock Halle,,RO,blonde,5,21/02/2021,"În Halle cu Para, Theo, Iulia, Octi",,,,
268,Blue,Strașnic,,RO,blonde,4.7,30/12/2018,Porceală,,,,
655,Blue,Strașnic,,RO,unfiltered,4.7,16/06/2021,RK seminar @ Imperial,,,,
656,Blue,Strașnic,,RO,unfiltered,4.7,19/06/2021,Lasagna Saturday,,,,
657,Blue,Strașnic,,RO,unfiltered,4.7,22/06/2021,Begeuri,,,,
313,Blue,Șapte coline,2005,RO,märzen,5.7,25/04/2019,Acasă,,,,
316,Blue,Șapte coline,2005,RO,pils,4.75,28/04/2019,Cina în familie,,,,
320,Blue,Șapte coline,2005,RO,three hops,4.75,04/05/2019,Cina cu familionul,,,,
324,Blue,Șapte coline,2005,RO,black; unfiltered,6.5,12/05/2019,Last beer of the holiday,,,,
