Number;Storage;Name;Est.;Country;Type;ABV;Vol;Date
;Blue;Timișoreana;1718;RO;blonde;5;500;
;Blue;Timișoreana;1718;RO;blonde;5;500;
;Blue;Timișoreana;1718;RO;unfiltered;5;500;
620;Blue;Timișoreana;1718;RO;blonde;5;500;14/03/2021
626;Blue;Timișoreana;1718;RO;unpasteurised;5;500;26/03/2021
;Blue;Nenea Iancu;;RO;blonde;4.9;500;
;Blue;Nenea Iancu;;RO;"wheat; unfiltered";5.1;500;
615;Blue;Nenea Iancu;;RO;blonde;4.9;500;14/02/2021
618;Blue;Nenea Iancu;;RO;"wheat; unfiltered";5.5;500;02/03/2021
;Blue;Nenea Iancu;;RO;Christmas Beer;5.7;500;
;Blue;Skol;;RO;unfiltered;5;500;
;Blue;Cazino;;RO;unfiltered;5.2;330;
430;Blue;Cazino;2016;RO;lager;5.2;330;16/12/2019
;Blue;Silva;;RO;blonde;5;500;
;Blue;Silva;;RO;dark;7;500;
757;Blue;Silva;;RO;blonde;5;500;26/12/2021
;Blue;Silva;;RO;dark;7;500;
;Blue;Bergenbier;1994;RO;blonde;5;500;
;Blue;Bergenbier;;RO;ale;5.5;500;
266;Blue;Bergenbier;1994;RO;blonde;5;500;
;Blue;Chișinău;1873;RO;;;500;
;Blue;Gambrinus;1869;RO;beer;5.5;400;
;Blue;Tari ca munții;2017;RO;;5.2;500;23/12/2017
1017;Blue;Cibis;;RO;amber;6.3;500;28/12/2022
;Blue;Oppler;1854;RO;pilsner;4.1;500;
;Blue;Stejar;;RO;;5.5;500;
209;Blue;Arrogant;;RO;IPA;6;330;01/08/2018
577;Blue;TNR;2019;RO;blonde;4.5;500;08/12/2020
;Blue;Zăganu;2013;RO;blonde unfiltered;5.3;500;
607;Blue;Zăganu;2013;RO;brown;6.5;500;18/01/2021
640;Blue;Sturionul;;RO;unpasteurised;5.6;330;24/04/2021
;Blue;Ciuc;;RO;blonde;5;330;
;Blue;Ursus Premium;1878;RO;blonde;5;500;
204;Blue;Ursus Black;1878;RO;dark;6;500;
1262;Blue;Ursus Premium;1878;RO;blonde;5;500;04/09/2023
1359;Blue;Ursus Premium;1878;RO;blonde;5;500;20/12/2023
205;Blue;Ursus Retro;1878;RO;unfiltered;5.3;500;27/07/2018
580;Blue;Ursus Pale Ale Panda;1878;RO;pale ale;4.5;330;10/12/2020
582;Blue;Ursus Black Grizzly;1878;RO;black;6;330;12/12/2020
584;Blue;Ursus Retro Carpatin;1878;RO;unpasteurised;5.3;330;15/12/2020
264;Blue;Danke Bukarest!;;DE;German lager;5.5;500;25/12/2018
265;Blue;Doors Brew;;RO;unfiltered;5.2;330;26/12/2018
612;Blue;Rock Halle;;RO;amber lager;6.5;500;05/02/2021
616;Blue;Rock Halle;;RO;blonde;5;500;21/02/2021
268;Blue;Strașnic;;RO;blonde;4.7;500;30/12/2018
655;Blue;Strașnic;;RO;unfiltered;4.7;500;16/06/2021
656;Blue;Strașnic;;RO;unfiltered;4.7;500;19/06/2021
657;Blue;Strașnic;;RO;unfiltered;4.7;500;22/06/2021
313;Blue;Șapte coline;2005;RO;märzen;5.7;500;25/04/2019
316;Blue;Șapte coline;2005;RO;pils;4.75;500;28/04/2019
320;Blue;Șapte coline;2005;RO;three hops;4.75;500;04/05/2019
324;Blue;Șapte coline;2005;RO;"black; unfiltered";6.5;500;12/05/2019
645;Blue;Șapte coline;2005;RO;blonde unfiltered;4.75;500;01/05/2021
326;Blue;7 Strings;;RO;beer;4.8;500;13/06/2019
428;Blue;Haramin;;BE;IPA;5.5;330;24/12/2019
429;Blue;Haramin;;BE;tripel;9.5;330;25/12/2019
372;Blue;Nemțeana;;RO;amber;6.5;500;10/09/2019
643;Blue;Nemțeana;;RO;lager;6.5;500;30/04/2021
613;Blue;Nemțeana;;RO;pilsner;5;500;06/02/2021
644;Blue;Corvus;;RO;unfiltered;4.5;500;01/05/2021
;Blue;Sikaru;;RO;"red; IPA";5.2;330;
321;Blue;Sikaru;;RO;stout;5.5;330;07/05/2019
323;Blue;Sikaru;;RO;blonde;5.5;330;10/05/2019
646;Blue;SIkaru;;RO;summer ale;5.2;330;01/05/2021
369;Blue;One Beer Later Einstein is Wrong;;RO;American amber ale;5;330;01/09/2019
608;Blue;One beer later Perfect Reply;;RO;pale ale;5;330;19/01/2021
609;Blue;One beer later Albert is Wrong;;RO;amber ale;5;330;20/01/2021
610;Blue;One beer later Rock 'n Beer;;RO;lager;5;330;21/01/2021
370;Blue;Cearfisă Weißbier;;RO;white;5.2;500;01/09/2019
1007;Blue;Cearfisă Pale Ale;;RO;pale ale;5.5;330;16/12/2022
432;Blue;Călimani;1974;RO;blonde;4.6;500;30/12/2019
433;Blue;Terapia Rubin;;RO;amber ale;6;500;31/12/2019
436;Blue;Csiki Barna;;RO;beer;7;500;31/12/2019
1260;Blue;Csíki Sör;1540;RO;beer;6;500;01/09/2023
639;Blue;Neumarkt;;RO;pilsner;5.2;660;21/04/2021
601;Blue;Ciucaș;;RO;beer;4.6;330;01/01/2021
586;Blue;Legenda lui Matei Corvin;;RO;lager;4.7;330;19/12/2020
587;Blue;Paloșul lui Ștefan cel Mare;;RO;IPA;6.3;330;21/12/2020
588;Blue;Enigma lui Negru Vodă;;RO;porter;6;330;22/12/2020
636;Blue;Țeapa lui Vlad;;RO;red ale;5.2;330;12/04/2021
1015;Blue;Pana lui Viteazu';;RO;pilsner;4.8;330;24/12/2022
1027;Blue;Coșmarul lui Baiazid;;RO;wheat ale;4.5;330;31/12/2022
761;Blue;Wallachia Pale Ale;;RO;pale ale;5;500;08/01/2022
762;Blue;Wallachia Pilsner;;RO;pilsner;5.3;500;10/01/2022
596;Blue;Transylvania Amber Delight;;RO;amber;7.2;330;29/12/2020
602;Blue;Transylvania After Dark;;RO;dopplebock;7.2;330;01/01/2021
598;Blue;Bucur;;RO;black;6.5;350;30/12/2020
604;Blue;Bucur;;RO;blonde;5;350;04/01/2021
267;Blue;Zimbru;1845;RO;blonde;5;500;28/12/2018
603;Blue;Zimbru;1845;RO;beer;5;330;02/01/2021
647;Blue;Oriel Saison;2018;RO;saison;6.9;330;06/05/2021
650;Blue;Oriel Dubbel;2018;RO;dubbel;8;330;14/05/2021
630;Blue;Capra noastră;;RO;white;6.5;330;02/05/2021
637;Blue;Capra noastră;;RO;brown;6.5;330;15/04/2021
632;Blue;Capra noastră;;RO;tripel;7.5;330;07/04/2021
654;Blue;Capra noastră;;RO;saison;6;330;13/06/2021
638;Blue;Capra noastră;;RO;IPA;6.2;330;17/04/2021
605;Blue;Hab;;RO;lager;5;330;08/01/2021
628;Blue;Solca;1810;RO;blonde;4.8;500;30/03/2021
629;Blue;Suceava;1974;RO;blonde;4.4;500;31/03/2021
635;Blue;Scorilo;;RO;blonde;5;500;10/04/2021
649;Blue;La Llorona;;RO;amber ale;6.3;330;14/05/2021
648;Blue;Deranj;;RO;wheat;5;500;07/05/2021
651;Blue;Deranj IPA;;RO;IPA;5.8;500;24/05/2021
590;Blue;Meșterul Manole Bock;;RO;Bock;6.3;500;22/12/2020
592;Blue;Meșterul Manole Buchetul Anei;;RO;lager;4.5;330;24/12/2020
1020;Blue;Meșterul Manole Blondă;;RO;blonde;6.3;500;29/12/2022
1022;Blue;Meșterul Manole Viguros;;RO;blonde;5.3;500;29/12/2022
652;Blue;Mustață;;RO;IPA;5.5;330;01/06/2021
760;Blue;Red Revolution;;RO;amber;5;330;31/12/2021
1008;Blue;Olovina Pale Ale;;RO;pale ale;5.5;330;16/12/2022
1009;Blue;Olovina Pils;;RO;pilsner;4.8;330;16/12/2022
;Blue;Azuga;1870;RO;blone unpasteurised;5.5;500;09/07/2018
1016;Blue;Azuga Nefiltrată Weißbier;1870;RO;weißbier;5.3;500;25/12/2022
